Germany,"The Weeknd",664018,Canada
Germany,Louane,661079,France
Germany,"Lunchmoney Lewis",641753,United States
Germany,"Ellie Goulding",626844,United Kingdom
Germany,"Major Lazer",617992,Jamaica
Germany,"Zara Larsson",610257,Sweden
Germany,"Mariah Carey",599810,United States
Germany,OMI,580363,Jamaica
Germany,Rudimental,578841,United Kingdom
Germany,Alligatoah,576646,Germany
Germany,"R. City",575835,United States
Germany,"Ariana Grande",571491,United States
Germany,"Selena Gomez",543414,United States
Germany,"Gestört aber GeiL",531886,Other
Germany,"Alessia Cara",531005,Other
Germany,Coldplay,523346,United Kingdom
Germany,Sigala,519849,Other
Germany,Alligatoah,496066,Germany
Germany,"Felix Jaehn",493708,Other
Germany,Sigala,489677,Other
Germany,"Charlie Puth",485714,United States
Germany,Motrip,478334,Other
Germany,Wham!,476199,United Kingdom
Germany,"Felix Jaehn",462821,Other
Germany,"One Direction",458144,United Kingdom
Germany,"Jack Ü",453932,United States
Germany,"Justin Bieber",439860,Canada
Germany,"David Guetta",423218,France
Germany,"One Direction",422079,United Kingdom
Germany,Namika,420896,Other
Germany,"Robin Schulz",412683,Germany
Germany,"Ed Sheeran",406815,United Kingdom
Germany,"Macklemore & Ryan Lewis",383550,United States
Germany,"POL1Z1STENS0HN a.k.a. Jan Böhmermann",375023,Other
Spain,"Cali Y El Dandee",1098745,Colombia
Spain,Adele,1090108,United Kingdom
Spain,"Justin Bieber",1029257,Canada
Spain,"Justin Bieber",975528,Canada
Spain,"Justin Bieber",844953,Canada
Spain,"J Balvin",842386,Colombia
Spain,"Juan Magán",759006,Spain
Spain,"R. City",727133,United States
Spain,"Alvaro Soler",715299,Other
Spain,"Justin Bieber",710297,Canada
Spain,"Major Lazer",632094,Jamaica
Spain,"Calvin Harris",627772,United Kingdom
Spain,"Felix Jaehn",611651,Other
Spain,"Manuel Carrasco",608316,Spain
Spain,"The Weeknd",599640,Canada
Spain,"Gente De Zona",597181,Cuba
Spain,"Shawn Mendes",584835,Canada
Spain,Dasoul,567954,Other
Spain,"Ellie Goulding",564747,United Kingdom
Spain,"Nicky Jam",559133,Puerto Rico
Spain,Drake,533015,Canada
Spain,"Charlie Puth",528388,United States
Spain,"Ariana Grande",519778,United States
Spain,"Pablo López",504627,Other
Spain,"Jack Ü",494128,United States
Spain,"Daddy Yankee",491874,Puerto Rico
Spain,"Daddy Yankee",479990,Puerto Rico
Spain,"Ed Sheeran",477418,United Kingdom
Spain,"Chino & Nacho",475394,Venezuela
Spain,Cosculluela,470989,Puerto Rico
Spain,"Luny Tunes",457926,United States
Spain,"Juan Magán",433162,Spain
Spain,Farruko,425625,Puerto Rico
Spain,Kygo,425600,Norway
Spain,"Lost Frequencies",417965,Belgium
Spain,"Ricky Martin",415815,Puerto Rico
Spain,"Robin Schulz",414305,Germany
Spain,"Justin Bieber",400169,Canada
Spain,"Jason Derulo",391328,United States
Spain,"Don Omar",390501,Puerto Rico
Spain,"Joey Montana",385907,Panama
Spain,"Mark Ronson",377254,United Kingdom
Spain,"Ed Sheeran",370560,United Kingdom
Spain,"Selena Gomez",362788,United States
Spain,"Lost Frequencies",359278,Belgium
Spain,Avicii,358158,Sweden
Spain,Coldplay,349527,United Kingdom
Spain,Kygo,346624,Norway
Spain,Madcon,344604,Norway
Spain,"Flo Rida",327764,United States
Sweeden,"Justin Bieber",1975646,Canada
Sweeden,"Miriam Bryant",1651749,Sweden
Sweeden,Adele,1586186,United Kingdom
Sweeden,Kygo,1498818,Norway
Sweeden,"Justin Bieber",1479481,Canada
Sweeden,"Miriam Bryant",1386779,Sweden
Sweeden,"Lukas Graham",1232986,Denmark
Sweeden,"Mike Posner",1167718,United States
Sweeden,"Sabina Ddumba",1154624,Sweden
Sweeden,"Major Lazer",1105316,Jamaica
Sweeden,"Miriam Bryant",1074125,Sweden
Sweeden,"Justin Bieber",966365,Canada
Sweeden,"Robin Mos",958582,Other
Sweeden,"Mariah Carey",848448,United States
Sweeden,"Shawn Mendes",848386,Canada
Sweeden,Wham!,804914,United Kingdom
Sweeden,"Miriam Bryant",778198,Sweden
Sweeden,"Miriam Bryant",769998,Sweden
Sweeden,"Martin Almgren",654767,Other
Sweeden,"Robin Schulz",576700,Germany
Sweeden,Rudimental,541723,United Kingdom
Sweeden,"Zara Larsson",522609,Sweden
Sweeden,Sigala,521062,Other
Sweeden,"Justin Bieber",519423,Canada
Sweeden,"Ariana Grande",499152,United States
Sweeden,Drake,491581,Canada
Sweeden,"Major Lazer",463957,Jamaica
Sweeden,"R. City",455388,United States
Sweeden,"The Weeknd",444542,Canada
Sweeden,"Ellie Goulding",420870,United Kingdom
Sweeden,"Justin Bieber",410577,Canada
Sweeden,"Nicky Jam",401123,Puerto Rico
Sweeden,OMI,400520,Jamaica
Sweeden,"Zara Larsson",399536,Sweden
Sweeden,"Ed Sheeran",374659,United Kingdom
Sweeden,"Hailee Steinfeld",366421,Other
Sweeden,"One Direction",362998,United Kingdom
Sweeden,"Lost Frequencies",339663,Belgium
Phillipines,"Justin Bieber",1292958,Canada
Phillipines,"Justin Bieber",1238173,Canada
Phillipines,"Justin Bieber",800124,Canada
Phillipines,Adele,630221,United Kingdom
Phillipines,"R. City",514476,United States
Phillipines,"The Chainsmokers",507035,United States
Phillipines,"One Direction",496486,United Kingdom
Phillipines,"Shawn Mendes",480346,Canada
Phillipines,"Ariana Grande",473228,United States
Phillipines,Drake,470257,Canada
Phillipines,"Justin Bieber",411342,Canada
Phillipines,"Meghan Trainor",409089,United States
Phillipines,"Ed Sheeran",364722,United Kingdom
Phillipines,"Selena Gomez",334423,United States
Phillipines,"Jack Ü",333644,United States
Phillipines,"Justin Bieber",329693,Canada
Phillipines,"Charlie Puth",320352,United States
Phillipines,"Ellie Goulding",308149,United Kingdom
Phillipines,"One Direction",302346,United Kingdom
Phillipines,"The Weeknd",281627,Canada
Phillipines,"Hailee Steinfeld",263897,Other
Phillipines,Rudimental,251841,United Kingdom
Phillipines,"Justin Bieber",250631,Canada
Phillipines,"Justin Bieber",233047,Canada
Phillipines,"Calvin Harris",226758,United Kingdom
Phillipines,"The Weeknd",226435,Canada
Phillipines,"Alessia Cara",226033,Other
Phillipines,"Major Lazer",215242,Jamaica
Phillipines,"Ed Sheeran",214034,United Kingdom
Sweeden,Avicii,699448,Sweden
Phillipines,"Demi Lovato",209239,United States
Phillipines,"Justin Bieber",204085,Canada
Phillipines,"Justin Bieber",203475,Canada
Phillipines,OMI,200026,Jamaica
Sweeden,Avicii,519586,Sweden
Phillipines,"Robin Schulz",196725,Germany
Phillipines,"Justin Bieber",184860,Canada
Phillipines,"Fetty Wap",182999,United States
Phillipines,OMI,172474,Jamaica
Phillipines,"Zara Larsson",168377,Sweden
Phillipines,"Justin Bieber",145060,Canada
Sweeden,"Justin Bieber",455084,Canada
Phillipines,"Little Mix",142600,United Kingdom
Phillipines,"Macklemore & Ryan Lewis",136714,United States
Phillipines,"Justin Bieber",135430,Canada
Phillipines,"Mariah Carey",132745,United States
Netherlands,"Justin Bieber",1527120,Canada
Netherlands,"Justin Bieber",1285211,Canada
Netherlands,Adele,947738,United Kingdom
Netherlands,"Justin Bieber",844971,Canada
Netherlands,"Shawn Mendes",803460,Canada
Netherlands,"Lukas Graham",677407,Denmark
Netherlands,"Robin Schulz",553464,Germany
Netherlands,"Zara Larsson",552795,Sweden
Netherlands,Drake,536152,Canada
Netherlands,"Justin Bieber",535321,Canada
Sweeden,"Adolphson & Falk",621926,Other
Netherlands,"Mariah Carey",381599,United States
Netherlands,"Zara Larsson",498776,Sweden
Netherlands,"Ariana Grande",482171,United States
Netherlands,"Ellie Goulding",425367,United Kingdom
Netherlands,"Calvin Harris",375892,United Kingdom
Sweeden,"Band Aid",507635,United Kingdom
Netherlands,Coldplay,367321,United Kingdom
Sweeden,Triad,493592,United States
Netherlands,"Charlie Puth",361873,United States
Netherlands,"Justin Bieber",354010,Canada
Netherlands,"Jack Ü",353875,United States
Netherlands,"R. City",352012,United States
Netherlands,Sigala,347479,Other
Sweeden,"Miriam Bryant",440792,Sweden
Netherlands,"The Weeknd",336210,Canada
Netherlands,"Justin Bieber",330100,Canada
Netherlands,"Hailee Steinfeld",323132,Other
Netherlands,"Justin Bieber",320011,Canada
Netherlands,"Major Lazer",318899,Jamaica
Netherlands,OMI,313174,Jamaica
Netherlands,"Major Lazer",296283,Jamaica
Netherlands,"Justin Bieber",282643,Canada
Netherlands,"Lost Frequencies",280358,Belgium
Netherlands,"Justin Bieber",275044,Canada
Netherlands,"Felix Jaehn",266707,Other
Netherlands,Wham!,262773,United Kingdom
Netherlands,"Selena Gomez",252959,United States
Netherlands,"Alessia Cara",246217,Other
Netherlands,"Naughty Boy",244643,United Kingdom
Netherlands,"Ed Sheeran",239929,United Kingdom
Netherlands,"Justin Bieber",235225,Canada
Sweeden,"Michael Bublé",441594,Canada
Netherlands,"Meghan Trainor",233527,United States
Sweeden,"The Pogues",453092,United Kingdom
Phillipines,"Charlie Puth",316596,United States
Sweeden,"Danny Saucedo",413413,Sweden
Sweeden,"Danny Saucedo",407007,Sweden
Phillipines,"Ellie Goulding",179088,United Kingdom
Sweeden,"Alan Walker",397597,Other
Netherlands,"One Direction",212266,United Kingdom
Phillipines,"One Direction",143843,United Kingdom
Phillipines,"One Direction",137725,United Kingdom
Phillipines,Dawin,422018,United States
Phillipines,"Up Dharma Down",229219,Philippines
Phillipines,"Silent Sanctuary",161513,Philippines
Netherlands,Dyna,393310,United States
Netherlands,"Ronnie Flex",639855,Netherlands
Netherlands,Kygo,253851,Norway
Netherlands,"Sam Hunt",312217,United States
Netherlands,"Marco Borsato",299296,Netherlands
Netherlands,"Diggy Dex",295588,Netherlands
Netherlands,SFB,261948,United States
Netherlands,SFB,211620,United States
